id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
1709061,Bang Haji,Bang Haji,bang-haji-1709061,1709061,12,-3.598,102.328
1709020,Karang Tinggi,Karang Tinggi,karang-tinggi-1709020,1709020,18,-3.764,102.463
1709031,Merigi Kelindang,Merigi Kelindang,merigi-kelindang-1709031,1709031,13,-3.588,102.459
1709041,Merigi Sakti,Merigi Sakti,merigi-sakti-1709041,1709041,15,-3.619,102.414
1709040,Pagar Jati,Pagar Jati,pagar-jati-1709040,1709040,14,-3.597,102.395
1709060,Pematang Tiga,Pematang Tiga,pematang-tiga-1709060,1709060,13,-3.577,102.305
1709050,Pondok Kelapa,Pondok Kelapa,pondok-kelapa-1709050,1709050,17,-3.677,102.272
1709051,Pondok Kubang,Pondok Kubang,pondok-kubang-1709051,1709051,12,-3.692,102.353
1709030,Taba Penanjung,Taba Penanjung,taba-penanjung-1709030,1709030,14,-3.713,102.51
1709010,Talang Empat,Talang Empat,talang-empat-1709010,1709010,15,-3.806,102.381
