id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
1707051,Amen,Amen,amen-1707051,1707051,10,-3.127,102.217
1707021,Bingin Kuning,Bingin Kuning,bingin-kuning-1707021,1707021,9,-3.175,102.286
1707040,Lebong Atas,Lebong Atas,lebong-atas-1707040,1707040,6,-3.18,102.179
1707031,Lebong Sakti,Lebong Sakti,lebong-sakti-1707031,1707031,9,-3.114,102.28
1707020,Lebong Selatan,Lebong Selatan,lebong-selatan-1707020,1707020,10,-3.277,102.338
1707030,Lebong Tengah,Lebong Tengah,lebong-tengah-1707030,1707030,11,-3.211,102.225
1707050,Lebong Utara,Lebong Utara,lebong-utara-1707050,1707050,12,-3.117,102.176
1707042,Pelabai,Pelabai,pelabai-1707042,1707042,8,-3.144,102.161
1707053,Pinang Belapis,Pinang Belapis,pinang-belapis-1707053,1707053,8,-2.911,102.084
1707010,Rimbo Pengadang,Rimbo Pengadang,rimbo-pengadang-1707010,1707010,6,-3.309,102.427
1707011,Topos,Topos,topos-1707011,1707011,8,-3.149,102.403
1707052,Uram Jaya,Uram Jaya,uram-jaya-1707052,1707052,7,-3.073,102.26
