id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
1706041,Air Dikit,Air Dikit,air-dikit-1706041,1706041,7,-2.657,101.248
1706051,Air Manjunto,Air Manjunto,air-manjunto-1706051,1706051,8,-2.49,101.17
1706011,Air Rami,Air Rami,air-rami-1706011,1706011,12,-3.021,101.659
1706010,Ipuh,Ipuh,ipuh-1706010,1706010,16,-2.992,101.486
1706040,Kota Mukomuko,Kota Mukomuko,kota-mukomuko-1706040,1706040,9,-2.582,101.129
1706050,Lubuk Pinang,Lubuk Pinang,lubuk-pinang-1706050,1706050,7,-2.422,101.151
1706012,Malin Deman,Malin Deman,malin-deman-1706012,1706012,8,-2.825,101.697
1706031,Penarik,Penarik,penarik-1706031,1706031,14,-2.6,101.433
1706020,Pondok Suguh,Pondok Suguh,pondok-suguh-1706020,1706020,11,-2.724,101.535
1706032,Selagan Raya,Selagan Raya,selagan-raya-1706032,1706032,12,-2.495,101.405
1706021,Sungai Rumbai,Sungai Rumbai,sungai-rumbai-1706021,1706021,9,-2.769,101.575
1706022,Teramang Jaya,Teramang Jaya,teramang-jaya-1706022,1706022,13,-2.682,101.471
1706030,Teras Terunjam,Teras Terunjam,teras-terunjam-1706030,1706030,8,-2.56,101.235
1706052,V Koto,V Koto,v-koto-1706052,1706052,10,-2.418,101.309
1706042,Xiv Koto,Xiv Koto,xiv-koto-1706042,1706042,8,-2.472,101.079
