id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
3310040,Bayat,Bayat,bayat-3310040,3310040,16,-7.773,110.655
3310050,Cawas,Cawas,cawas-3310050,3310050,18,-7.762,110.715
3310130,Ceper,Ceper,ceper-3310130,3310130,12,-7.678,110.669
3310180,Delanggu,Delanggu,delanggu-3310180,3310180,14,-7.63,110.692
3310020,Gantiwarno,Gantiwarno,gantiwarno-3310020,3310020,13,-7.777,110.567
3310220,Jatinom,Jatinom,jatinom-3310220,3310220,17,-7.673,110.578
3310090,Jogonalan,Jogonalan,jogonalan-3310090,3310090,18,-7.726,110.551
3310160,Juwiring,Juwiring,juwiring-3310160,3310160,19,-7.656,110.735
3310070,Kalikotes,Kalikotes,kalikotes-3310070,3310070,7,-7.727,110.62
3310200,Karanganom,Karanganom,karanganom-3310200,3310200,16,-7.642,110.633
3310150,Karangdowo,Karangdowo,karangdowo-3310150,3310150,18,-7.708,110.743
3310110,Karangnongko,Karangnongko,karangnongko-3310110,3310110,13,-7.67,110.545
3310080,Kebonarum,Kebonarum,kebonarum-3310080,3310080,4,-7.701,110.561
3310230,Kemalang,Kemalang,kemalang-3310230,3310230,13,-7.608,110.49
3310710,Klaten Selatan,Klaten Selatan,klaten-selatan-3310710,3310710,10,-7.718,110.59
3310720,Klaten Tengah,Klaten Tengah,klaten-tengah-3310720,3310720,9,-7.716,110.607
3310730,Klaten Utara,Klaten Utara,klaten-utara-3310730,3310730,7,-7.69,110.617
3310100,Manisrenggo,Manisrenggo,manisrenggo-3310100,3310100,13,-7.69,110.499
3310120,Ngawen,Ngawen,ngawen-3310120,3310120,10,-7.669,110.607
3310140,Pedan,Pedan,pedan-3310140,3310140,13,-7.697,110.708
3310190,Polanharjo,Polanharjo,polanharjo-3310190,3310190,17,-7.623,110.667
3310010,Prambanan,Prambanan,prambanan-3310010,3310010,14,-7.749,110.511
3310060,Trucuk,Trucuk,trucuk-3310060,3310060,16,-7.724,110.669
3310210,Tulung,Tulung,tulung-3310210,3310210,15,-7.597,110.605
3310030,Wedi,Wedi,wedi-3310030,3310030,16,-7.771,110.602
3310170,Wonosari,Wonosari,wonosari-3310170,3310170,14,-7.628,110.745
