id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
3328120,Adiwerna,Adiwerna,adiwerna-3328120,3328120,20,-6.934,109.11
3328040,Balapulang,Balapulang,balapulang-3328040,3328040,20,-7.079,109.112
3328030,Bojong,Bojong,bojong-3328030,3328030,15,-7.165,109.179
3328020,Bumijawa,Bumijawa,bumijawa-3328020,3328020,17,-7.188,109.132
3328130,Dukuhturi,Dukuhturi,dukuhturi-3328130,3328130,17,-6.906,109.116
3328110,Dukuhwaru,Dukuhwaru,dukuhwaru-3328110,3328110,9,-6.973,109.099
3328070,Jatinegara,Jatinegara,jatinegara-3328070,3328070,16,-7.046,109.23
3328080,Kedung Banteng,Kedung Banteng,kedung-banteng-3328080,3328080,10,-6.984,109.232
3328160,Kramat,Kramat,kramat-3328160,3328160,20,-6.881,109.193
3328060,Lebaksiu,Lebaksiu,lebaksiu-3328060,3328060,14,-7.029,109.129
3328010,Margasari,Margasari,margasari-3328010,3328010,13,-7.096,109.014
3328050,Pagerbarang,Pagerbarang,pagerbarang-3328050,3328050,12,-7.014,109.057
3328090,Pangkah,Pangkah,pangkah-3328090,3328090,19,-6.993,109.168
3328100,Slawi,Slawi,slawi-3328100,3328100,10,-6.985,109.133
3328170,Suradadi,Suradadi,suradadi-3328170,3328170,11,-6.905,109.252
3328140,Talang,Talang,talang-3328140,3328140,18,-6.918,109.149
3328150,Tarub,Tarub,tarub-3328150,3328150,17,-6.926,109.187
3328180,Warureja,Warureja,warureja-3328180,3328180,12,-6.925,109.319
