id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
5315031009,Dunta,Dunta,dunta-5315031009,5315031009,86764,-8.592,120.222
5315031001,Galang,Galang,galang-5315031001,5315031001,86764,-8.659,120.214
5315031015,Golo Ndari,Golo Ndari,golo-ndari-5315031015,5315031015,86764,-8.599,120.213
5315031007,Golo Ronggot,Golo Ronggot,golo-ronggot-5315031007,5315031007,86764,-8.637,120.153
5315031006,Lale,Lale,lale-5315031006,5315031006,86764,-8.637,120.211
5315031004,Orong,Orong,orong-5315031004,5315031004,86764,-8.612,120.248
5315031011,Pengka,Pengka,pengka-5315031011,5315031011,86764,-8.587,120.165
5315031002,Pong Welak,Pong Welak,pong-welak-5315031002,5315031002,86764,-8.628,120.257
5315031012,Racang Welak,Racang Welak,racang-welak-5315031012,5315031012,86764,-8.6,120.182
5315031003,Rehak,Rehak,rehak-5315031003,5315031003,86764,-8.639,120.271
5315031013,Robo,Robo,robo-5315031013,5315031013,86764,-8.6,120.182
5315031010,Semang,Semang,semang-5315031010,5315031010,86764,-8.575,120.199
5315031016,Sewar,Sewar,sewar-5315031016,5315031016,86764,-8.6,120.182
5315031008,Watu Umpu,Watu Umpu,watu-umpu-5315031008,5315031008,86764,-8.604,120.199
5315031014,Wewa,Wewa,wewa-5315031014,5315031014,86764,-8.6,120.182
