id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
5302080,Haharu,Haharu,haharu-5302080,5302080,7,-9.445,119.982
5302033,Kahaungu Eti,Kahaungu Eti,kahaungu-eti-5302033,5302033,9,-9.859,120.471
5302061,Kambata Mapambuhang,Kambata Mapambuhang,kambata-mapambuhang-5302061,5302061,6,-9.851,120.207
5302071,Kambera,Kambera,kambera-5302071,5302071,8,-9.702,120.262
5302081,Kanatang,Kanatang,kanatang-5302081,5302081,4,-9.574,120.164
5302031,Karera,Karera,karera-5302031,5302031,7,-10.21,120.258
5302013,Katala Hamu Lingu,Katala Hamu Lingu,katala-hamu-lingu-5302013,5302013,5,-9.86,119.918
5302070,Kota Waingapu,Kota Waingapu,kota-waingapu-5302070,5302070,7,-9.727,120.177
5302010,Lewa,Lewa,lewa-5302010,5302010,8,-9.653,119.91
5302012,Lewa Tidahu,Lewa Tidahu,lewa-tidahu-5302012,5302012,6,-9.794,119.773
5302034,Mahu,Mahu,mahu-5302034,5302034,6,-10.1,120.48
5302032,Matawai La Pawu,Matawai La Pawu,matawai-la-pawu-5302032,5302032,6,-9.987,120.277
5302035,Ngadu Ngala,Ngadu Ngala,ngadu-ngala-5302035,5302035,5,-10.205,120.403
5302011,Nggaha Oriangu,Nggaha Oriangu,nggaha-oriangu-5302011,5302011,8,-9.727,120.019
5302030,Paberiwai,Paberiwai,paberiwai-5302030,5302030,7,-10.04,120.426
5302040,Pahunga Lodu,Pahunga Lodu,pahunga-lodu-5302040,5302040,7,-10.136,120.687
5302060,Pandawai,Pandawai,pandawai-5302060,5302060,7,-9.769,120.441
5302021,Pinupahar,Pinupahar,pinupahar-5302021,5302021,6,-10.099,120.104
5302051,Rindi,Rindi,rindi-5302051,5302051,8,-9.985,120.688
5302020,Tabundung,Tabundung,tabundung-5302020,5302020,10,-9.954,120.055
5302052,Umalulu,Umalulu,umalulu-5302052,5302052,10,-9.867,120.582
5302041,Wula Waijelu,Wula Waijelu,wula-waijelu-5302041,5302041,7,-10.235,120.535
