id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
7505030,Anggrek,Anggrek,anggrek-7505030,7505030,15,0.833,122.77
7505010,Atinggola,Atinggola,atinggola-7505010,7505010,14,0.842,123.16
7505051,Biau,Biau,biau-7505051,7505051,10,0.955,122.194
7505011,Gentuma Raya,Gentuma Raya,gentuma-raya-7505011,7505011,11,0.863,123.029
7505020,Kwandang,Kwandang,kwandang-7505020,7505020,18,0.778,122.916
7505031,Monano,Monano,monano-7505031,7505031,9,0.883,122.677
7505022,Ponelo Kepulauan,Ponelo Kepulauan,ponelo-kepulauan-7505022,7505022,4,0.877,122.875
7505040,Sumalata,Sumalata,sumalata-7505040,7505040,11,0.963,122.36
7505041,Sumalata Timur,Sumalata Timur,sumalata-timur-7505041,7505041,9,0.932,122.545
7505050,Tolinggula,Tolinggula,tolinggula-7505050,7505050,10,0.963,122.105
7505021,Tomilito,Tomilito,tomilito-7505021,7505021,10,0.903,122.958
