id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
7111041003,Bongkudai Baru,Bongkudai Baru,bongkudai-baru-7111041003,7111041003,95784,0.751,124.425
7111041002,Bongkudai Selatan,Bongkudai Selatan,bongkudai-selatan-7111041002,7111041002,95784,0.649,124.359
7111041005,Bongkudai Timur,Bongkudai Timur,bongkudai-timur-7111041005,7111041005,95784,0.751,124.425
7111041004,Bongkudai Utara,Bongkudai Utara,bongkudai-utara-7111041004,7111041004,95784,0.765,124.412
7111041006,Guaan,Guaan,guaan-7111041006,7111041006,95784,0.777,124.434
7111041009,Kokapoy,Kokapoy,kokapoy-7111041009,7111041009,95784,0.801,124.52
7111041010,Kokapoy Timur,Kokapoy Timur,kokapoy-timur-7111041010,7111041010,95784,0.801,124.52
7111041001,Moat,Moat,moat-7111041001,7111041001,95784,0.739,124.453
7111041008,Mokitompia,Mokitompia,mokitompia-7111041008,7111041008,95784,0.739,124.453
7111041007,Mototompiaan,Mototompiaan,mototompiaan-7111041007,7111041007,95784,0.739,124.453
