id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
1222030004,Hadundung,Hadundung,hadundung-1222030004,1222030004,21511,1.847,100.03
1222030008,Kota Pinang,Kota Pinang,kota-pinang-1222030008,1222030008,21511,1.89,100.092
1222030003,Mampang,Mampang,mampang-1222030003,1222030003,21511,1.828,100.019
1222030002,Pasir Tuntung,Pasir Tuntung,pasir-tuntung-1222030002,1222030002,21511,1.852,100.092
1222030007,Perkebunan Nagodang,Perkebunan Nagodang,perkebunan-nagodang-1222030007,1222030007,21511,1.91,100.025
1222030005,Perkebunan Normark,Perkebunan Normark,perkebunan-normark-1222030005,1222030005,21511,1.857,100.008
1222030009,Perkebunan Sei Rumbia,Perkebunan Sei Rumbia,perkebunan-sei-rumbia-1222030009,1222030009,21511,1.933,100.064
1222030001,Simatahari,Simatahari,simatahari-1222030001,1222030001,21511,1.813,100.07
1222030010,Sisumut,Sisumut,sisumut-1222030010,1222030010,21511,1.948,100.114
1222030006,Sosopan,Sosopan,sosopan-1222030006,1222030006,21511,1.873,100.039
