id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
7304020002,Bontojai,Bontojai,bontojai-7304020002,7304020002,92351,-5.668,119.66
7304020001,Bontosunggu,Bontosunggu,bontosunggu-7304020001,7304020001,92351,-5.67,119.647
7304020006,Bontotangnga,Bontotangnga,bontotangnga-7304020006,7304020006,92351,-5.633,119.679
7304020003,Borongtala,Borongtala,borongtala-7304020003,7304020003,92351,-5.677,119.676
7304020008,Karelayu,Karelayu,karelayu-7304020008,7304020008,92351,-5.62,119.705
7304020007,Manjangloe,Manjangloe,manjangloe-7304020007,7304020007,92351,-5.639,119.705
7304020012,Taman Roya,Taman Roya,taman-roya-7304020012,7304020012,92351,-5.63,119.666
7304020015,Tonrokassi,Tonrokassi,tonrokassi-7304020015,7304020015,92351,-5.607,119.644
7304020016,Tonrokassi Barat,Tonrokassi Barat,tonrokassi-barat-7304020016,7304020016,92351,-5.606,119.624
7304020013,Tonrokassi Timur,Tonrokassi Timur,tonrokassi-timur-7304020013,7304020013,92351,-5.618,119.659
7304020005,Turatea,Turatea,turatea-7304020005,7304020005,92351,-5.652,119.679
7304020004,Turatea Timur,Turatea Timur,turatea-timur-7304020004,7304020004,92351,-5.663,119.693
