id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
7308040,Bantimurung,Bantimurung,bantimurung-7308040,7308040,8,-4.973,119.675
7308030,Bontoa,Bontoa,bontoa-7308030,7308030,9,-4.915,119.577
7308060,Camba,Camba,camba-7308060,7308060,7,-4.921,119.843
7308061,Cenrana,Cenrana,cenrana-7308061,7308061,7,-5.025,119.808
7308023,Lau,Lau,lau-7308023,7308023,6,-4.966,119.558
7308070,Mallawa,Mallawa,mallawa-7308070,7308070,10,-4.816,119.887
7308010,Mandai,Mandai,mandai-7308010,7308010,6,-5.085,119.561
7308020,Maros Baru,Maros Baru,maros-baru-7308020,7308020,7,-4.995,119.528
7308021,Marusu,Marusu,marusu-7308021,7308021,7,-5.029,119.504
7308011,Moncongloe,Moncongloe,moncongloe-7308011,7308011,5,-5.143,119.549
7308041,Simbang,Simbang,simbang-7308041,7308041,6,-5.048,119.679
7308050,Tanralili,Tanralili,tanralili-7308050,7308050,8,-5.102,119.625
7308051,Tompu Bulu,Tompu Bulu,tompu-bulu-7308051,7308051,8,-5.135,119.745
7308022,Turikale,Turikale,turikale-7308022,7308022,7,-5.009,119.569
