id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
7326180,Awan Rante Karua,Awan Rante Karua,awan-rante-karua-7326180,7326180,4,-2.912,119.736
7326120,Balusu,Balusu,balusu-7326120,7326120,7,-2.905,119.979
7326210,Baruppu,Baruppu,baruppu-7326210,7326210,4,-2.749,119.767
7326140,Bengkelekila,Bengkelekila,bengkelekila-7326140,7326140,4,-2.889,119.9
7326040,Buntao,Buntao,buntao-7326040,7326040,6,-3.048,119.956
7326200,Buntu Pepasan,Buntu Pepasan,buntu-pepasan-7326200,7326200,13,-2.795,119.846
7326170,Dende Piongan Napo,Dende Piongan Napo,dende-piongan-napo-7326170,7326170,8,-2.977,119.81
7326160,Kapala Pitu,Kapala Pitu,kapala-pitu-7326160,7326160,6,-2.932,119.839
7326020,Kesu,Kesu,kesu-7326020,7326020,7,-2.998,119.898
7326060,Nanggala,Nanggala,nanggala-7326060,7326060,9,-2.96,120.009
7326050,Rantebua,Rantebua,rantebua-7326050,7326050,7,-3.085,120.021
7326090,Rantepao,Rantepao,rantepao-7326090,7326090,11,-2.96,119.884
7326190,Rindingalo,Rindingalo,rindingalo-7326190,7326190,9,-2.882,119.805
7326130,Sa'dan,Sa'dan,sadan-7326130,7326130,10,-2.842,119.93
7326030,Sanggalangi,Sanggalangi,sanggalangi-7326030,7326030,6,-3.013,119.933
7326110,Sesean,Sesean,sesean-7326110,7326110,9,-2.92,119.919
7326150,Sesean Suloara,Sesean Suloara,sesean-suloara-7326150,7326150,5,-2.909,119.871
7326010,Sopai,Sopai,sopai-7326010,7326010,8,-3.002,119.858
7326080,Tallunglipu,Tallunglipu,tallunglipu-7326080,7326080,7,-2.957,119.91
7326100,Tikala,Tikala,tikala-7326100,7326100,7,-2.938,119.882
7326070,Tondon,Tondon,tondon-7326070,7326070,4,-2.956,119.947
