id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
7409121004,Bumi Lapero,Bumi Lapero,bumi-lapero-7409121004,7409121004,93742,-4.695,123.085
7409121005,Dampala Jaya,Dampala Jaya,dampala-jaya-7409121005,7409121005,93742,-4.698,123.065
7409121007,Karya Bakti,Karya Bakti,karya-bakti-7409121007,7409121007,93742,-4.679,123.062
7409121015,Karya Mulia,Karya Mulia,karya-mulia-7409121015,7409121015,93742,-4.65,123.043
7409121006,Kasulatombi,Kasulatombi,kasulatombi-7409121006,7409121006,93742,-4.678,123.085
7409121003,Kotawo,Kotawo,kotawo-7409121003,7409121003,93742,-4.651,123.011
7409121012,Labulanda,Labulanda,labulanda-7409121012,7409121012,93742,-4.669,123.063
7409121010,Lambale,Lambale,lambale-7409121010,7409121010,93742,-4.702,123.011
7409121013,Lapandewa,Lapandewa,lapandewa-7409121013,7409121013,93742,-4.667,123.069
7409121009,Lauki,Lauki,lauki-7409121009,7409121009,93742,-4.651,123.011
7409121008,Marga Karya,Marga Karya,marga-karya-7409121008,7409121008,93742,-4.66,123.085
7409121011,Mekar Jaya,Mekar Jaya,mekar-jaya-7409121011,7409121011,93742,-4.685,123.049
7409121001,Rahmat Baru,Rahmat Baru,rahmat-baru-7409121001,7409121001,93742,-4.689,123.003
7409121002,Soloy Agung,Soloy Agung,soloy-agung-7409121002,7409121002,93742,-4.716,123.028
