id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
3215071,Banyusari,Banyusari,banyusari-3215071,3215071,12,-6.308,107.534
3215190,Batujaya,Batujaya,batujaya-3215190,3215190,10,-6.048,107.198
3215020,Ciampel,Ciampel,ciampel-3215020,3215020,7,-6.428,107.333
3215170,Cibuaya,Cibuaya,cibuaya-3215170,3215170,10,-6.029,107.313
3215050,Cikampek,Cikampek,cikampek-3215050,3215050,10,-6.416,107.435
3215082,Cilamaya Kulon,Cilamaya Kulon,cilamaya-kulon-3215082,3215082,11,-6.225,107.514
3215081,Cilamaya Wetan,Cilamaya Wetan,cilamaya-wetan-3215081,3215081,12,-6.233,107.585
3215161,Cilebar,Cilebar,cilebar-3215161,3215161,10,-6.126,107.409
3215070,Jatisari,Jatisari,jatisari-3215070,3215070,14,-6.361,107.525
3215151,Jayakerta,Jayakerta,jayakerta-3215151,3215151,8,-6.105,107.293
3215113,Karawang Barat,Karawang Barat,karawang-barat-3215113,3215113,8,-6.272,107.296
3215112,Karawang Timur,Karawang Timur,karawang-timur-3215112,3215112,8,-6.299,107.331
3215040,Klari,Klari,klari-3215040,3215040,10,-6.396,107.379
3215072,Kotabaru,Kotabaru,kotabaru-3215072,3215072,8,-6.396,107.491
3215140,Kutawaluya,Kutawaluya,kutawaluya-3215140,3215140,12,-6.174,107.343
3215090,Lemahabang,Lemahabang,lemahabang-3215090,3215090,11,-6.286,107.451
3215111,Majalaya,Majalaya,majalaya-3215111,3215111,6,-6.301,107.373
3215200,Pakisjaya,Pakisjaya,pakisjaya-3215200,3215200,7,-6.004,107.127
3215010,Pangkalan,Pangkalan,pangkalan-3215010,3215010,8,-6.485,107.237
3215160,Pedes,Pedes,pedes-3215160,3215160,12,-6.083,107.37
3215051,Purwasari,Purwasari,purwasari-3215051,3215051,8,-6.372,107.411
3215120,Rawamerta,Rawamerta,rawamerta-3215120,3215120,13,-6.226,107.345
3215150,Rengasdengklok,Rengasdengklok,rengasdengklok-3215150,3215150,9,-6.171,107.302
3215100,Talagasari,Talagasari,talagasari-3215100,3215100,14,-6.268,107.416
3215011,Tegalwaru,Tegalwaru,tegalwaru-3215011,3215011,9,-6.521,107.243
3215032,Telukjambe Barat,Telukjambe Barat,telukjambe-barat-3215032,3215032,10,-6.35,107.241
3215031,Telukjambe Timur,Telukjambe Timur,telukjambe-timur-3215031,3215031,9,-6.343,107.294
3215130,Tempuran,Tempuran,tempuran-3215130,3215130,14,-6.189,107.449
3215180,Tirtajaya,Tirtajaya,tirtajaya-3215180,3215180,11,-6.04,107.249
3215060,Tirtamulya,Tirtamulya,tirtamulya-3215060,3215060,10,-6.336,107.461
