id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
6110040,Belimbing,Belimbing,belimbing-6110040,6110040,16,-0.413,111.445
6110041,Belimbing Hulu,Belimbing Hulu,belimbing-hulu-6110041,6110041,8,-0.454,111.527
6110060,Ella Hilir,Ella Hilir,ella-hilir-6110060,6110060,18,-0.532,112.063
6110070,Menukung,Menukung,menukung-6110070,6110070,19,-0.452,112.284
6110050,Nanga Pinoh,Nanga Pinoh,nanga-pinoh-6110050,6110050,17,-0.328,111.802
6110051,Pinoh Selatan,Pinoh Selatan,pinoh-selatan-6110051,6110051,12,-0.625,111.843
6110052,Pinoh Utara,Pinoh Utara,pinoh-utara-6110052,6110052,19,-0.256,111.867
6110030,Sayan,Sayan,sayan-6110030,6110030,18,-0.735,111.725
6110010,Sokan,Sokan,sokan-6110010,6110010,18,-1.095,111.376
6110020,Tanah Pinoh,Tanah Pinoh,tanah-pinoh-6110020,6110020,12,-0.762,111.53
6110021,Tanah Pinoh Barat,Tanah Pinoh Barat,tanah-pinoh-barat-6110021,6110021,10,-0.772,111.394
