id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
5203090,Aikmel,Aikmel,aikmel-5203090,5203090,22,-8.522,116.511
5203011,Jerowaru,Jerowaru,jerowaru-5203011,5203011,14,-8.846,116.492
5203010,Keruak,Keruak,keruak-5203010,5203010,15,-8.774,116.486
5203071,Labuhan Haji,Labuhan Haji,labuhan-haji-5203071,5203071,11,-8.656,116.583
5203050,Masbagik,Masbagik,masbagik-5203050,5203050,10,-8.59,116.461
5203031,Montong Gading,Montong Gading,montong-gading-5203031,5203031,8,-8.547,116.4
5203080,Pringgabaya,Pringgabaya,pringgabaya-5203080,5203080,14,-8.51,116.64
5203051,Pringgasela,Pringgasela,pringgasela-5203051,5203051,9,-8.522,116.46
5203020,Sakra,Sakra,sakra-5203020,5203020,10,-8.679,116.472
5203021,Sakra Barat,Sakra Barat,sakra-barat-5203021,5203021,17,-8.726,116.479
5203022,Sakra Timur,Sakra Timur,sakra-timur-5203022,5203022,8,-8.715,116.522
5203100,Sambelia,Sambelia,sambelia-5203100,5203100,11,-8.352,116.618
5203070,Selong,Selong,selong-5203070,5203070,11,-8.659,116.536
5203092,Sembalun,Sembalun,sembalun-5203092,5203092,6,-8.348,116.492
5203040,Sikur,Sikur,sikur-5203040,5203040,14,-8.555,116.437
5203081,Suela,Suela,suela-5203081,5203081,8,-8.49,116.588
5203060,Sukamulia,Sukamulia,sukamulia-5203060,5203060,9,-8.638,116.493
5203061,Suralaga,Suralaga,suralaga-5203061,5203061,15,-8.615,116.539
5203030,Terara,Terara,terara-5203030,5203030,16,-8.644,116.415
5203091,Wanasaba,Wanasaba,wanasaba-5203091,5203091,14,-8.521,116.544
