id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
9105141008,Amban,Amban,amban-9105141008,9105141008,98311,-0.837,134.048
9105141009,Inggramui,Inggramui,inggramui-9105141009,9105141009,98311,-0.855,134.043
9105141005,Manokwari Barat,Manokwari Barat,manokwari-barat-9105141005,9105141005,98311,-0.851,134.048
9105141007,Manokwari Timur,Manokwari Timur,manokwari-timur-9105141007,9105141007,98311,-0.866,134.079
9105141006,Padarni,Padarni,padarni-9105141006,9105141006,98311,-0.855,134.079
9105141004,Sanggeng,Sanggeng,sanggeng-9105141004,9105141004,98311,-0.861,134.062
9105141002,Soribo,Soribo,soribo-9105141002,9105141002,98311,-0.865,134.01
9105141001,Tanah Merah Indah,Tanah Merah Indah,tanah-merah-indah-9105141001,9105141001,98311,-1.018,133.991
9105141010,Udopi,Udopi,udopi-9105141010,9105141010,98311,-0.853,134.032
9105141003,Wosi,Wosi,wosi-9105141003,9105141003,98311,-0.866,134.046
