id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
7604040014,Batu Makkada,Batu Makkada,batu-makkada-7604040014,7604040014,91545,-2.405,119.685
7604040001,Kalumpang,Kalumpang,kalumpang-7604040001,7604040001,91545,-2.521,119.557
7604040004,Karama,Karama,karama-7604040004,7604040004,91545,-2.354,119.638
7604040002,Karataun,Karataun,karataun-7604040002,7604040002,91545,-2.617,119.546
7604040011,Kondo Bulo,Kondo Bulo,kondo-bulo-7604040011,7604040011,91545,-2.653,119.499
7604040013,Lasa',Lasa',lasa-7604040013,7604040013,91545,-2.667,119.633
7604040009,Limbong,Limbong,limbong-7604040009,7604040009,91545,-2.435,119.534
7604040012,Makkaliki,Makkaliki,makkaliki-7604040012,7604040012,91545,-2.502,119.627
7604040008,Polio,Polio,polio-7604040008,7604040008,91545,-2.521,119.557
7604040007,Salumakki,Salumakki,salumakki-7604040007,7604040007,91545,-2.561,119.685
7604040010,Sandapang,Sandapang,sandapang-7604040010,7604040010,91545,-2.33,119.58
7604040003,Siraun,Siraun,siraun-7604040003,7604040003,91545,-2.606,119.627
7604040005,Tumonga,Tumonga,tumonga-7604040005,7604040005,91545,-2.424,119.615
